office_id,coordinates,,avg_shk
216087,47.539525,42.034922,723
110674,47.548687,42.016667,838
318636,47.497710,42.186999,292
208291,47.495934,42.192908,311
50007657,47.326790,42.233907,62
207170,47.339901,41.862409,784
169231,47.273429,41.666569,540
168171,47.273507,41.666704,631
50001391,47.263384,41.667456,93
212834,47.332952,41.269278,596
212939,47.335407,41.267418,456
305822,47.416016,41.209037,212
307134,47.436609,41.428630,128
311569,47.421907,41.648398,190
159447,47.512662,42.187364,360
1927,47.511318,42.190329,518
208603,47.509595,42.192075,302
319684,47.514512,42.196088,169
212744,47.509369,42.199708,609
104274,47.512922,42.203613,555
313956,47.515113,42.207391,137
104218,47.516883,42.210296,733
321106,47.528489,42.203256,19
314369,47.525599,42.203220,225
105651,47.523596,42.200522,746
320036,47.525636,42.195899,224
320948,47.529816,42.192485,199
309895,47.523798,42.196133,355
212134,47.521872,42.197966,155
162404,47.520220,42.200608,358
210113,47.520356,42.196963,233
208109,47.517882,42.197856,358
50008148,47.506569,42.196537,135
208394,47.516805,42.189763,484
321728,47.720267,41.418096,88
210902,47.610326,41.500291,398
308020,47.632208,41.967458,194
210909,47.646020,42.057046,444
215558,47.527074,42.140927,499
50005664,47.523165,42.149816,129
210915,47.521827,42.142014,187
204425,47.518492,42.146180,237
321877,47.517062,42.144021,132
204239,47.511679,42.147521,335
200653,47.645960,42.082442,496
138363,47.646536,42.100995,740
50004607,47.651405,42.103939,108
320712,47.639962,42.102025,88
325800,47.643513,42.096366,19
3064,47.643088,42.091418,804
218079,47.657055,42.046437,295
326781,47.643550,42.103274,53
307282,47.976077,42.272858,116
217352,47.521583,42.154433,68
5782,47.520555,42.153758,519
320846,47.517434,42.152181,145
101392,47.516403,42.158366,438
323955,47.514767,42.157215,124
217812,47.512647,42.154044,465
166686,47.513191,42.163847,244
50005365,47.511071,42.166838,96
154720,47.508145,42.162663,488
208306,47.506924,42.162814,346
105595,47.506168,42.164320,623
307492,47.508285,42.166901,306
50000793,47.505163,42.175588,154
325834,47.503294,42.171914,125
207820,47.503258,42.168276,324
311277,47.503252,42.159257,219
50008277,47.506283,42.169983,155
50001008,47.523336,41.297072,318
302783,47.515693,41.780608,261
302942,47.470090,41.944218,302
159570,47.519516,42.214050,547
305844,47.520916,42.209377,143
145078,47.523141,42.214679,357
50003855,47.524431,42.218600,128
160653,47.526592,42.223035,334
216154,47.526021,42.231813,359
315462,47.524679,42.235125,229
304117,47.529731,42.229370,682
3334,47.525182,42.226676,1033
213587,47.528352,42.215599,344
166710,47.531351,42.210787,562
311825,47.530034,42.206421,208
110679,47.533219,42.202446,562
50007625,47.535370,42.200274,223
165390,47.539519,42.201118,549
136372,47.530408,42.197500,529
310857,47.529509,42.185841,103
326558,47.523214,42.226666,73
324726,47.530442,42.182020,82
